cityName,country,lat,lng,temp,humidity,cloudiness,winds
jiuquan,cn,39.73,98.49,64.12,86,12,2.95
carnarvon,au,-30.97,22.13,24.41,79,0,3.83
guozhen,cn,29.3,113.14,88.69,76,20,11.79
airai,pw,-8.93,125.41,68.51,80,0,2.04
pangnirtung,ca,66.15,-65.72,30.37,95,48,1.39
butaritari,ki,3.07,172.79,84.26,100,68,4.05
moose factory,ca,51.26,-80.61,44.6,91,90,8.05
la ronge,ca,55.1,-105.3,68.0,72,75,11.41
thunder bay,ca,48.41,-89.26,59.0,72,90,5.82
kibondo,tz,-3.59,30.72,50.35,88,8,2.84
alihe,cn,50.57,123.73,66.28,68,88,4.41
morehead,pg,38.18,-83.43,77.0,69,20,4.63
narsaq,gl,60.91,-46.05,41.0,80,75,3.36
roros,no,62.57,11.38,46.4,81,44,3.36
suicheng,cn,33.9,117.93,85.81,58,0,11.23
baijiantan,cn,45.63,85.18,89.59,21,0,5.75
boyolangu,id,-8.09,111.9,80.5,83,0,4.97
quatre cocos,mu,-20.21,57.76,71.6,68,75,8.05
havelock,us,34.88,-76.9,81.66,88,20,17.22
allonnes,fr,47.97,0.16,54.9,67,0,5.82
longhua,cn,29.21,106.21,82.4,78,0,4.47
marica,br,-22.92,-42.82,75.2,94,0,5.82
chifeng,cn,42.27,118.96,80.32,56,68,5.3
arman,ru,59.7,150.17,73.4,33,48,6.71
subiaco,it,-31.95,115.83,59.04,67,0,9.17
kaitangata,nz,-46.28,169.85,46.57,67,0,19.06
ushuaia,ar,-54.81,-68.31,28.4,86,75,5.82
akhtanizovskaya,ru,45.32,37.1,66.2,93,0,8.95
saint anthony,ca,43.97,-111.68,59.63,51,75,9.17
gornopravdinsk,ru,60.06,69.92,59.62,95,88,9.22
jalu,ly,29.03,21.55,77.44,43,0,5.41
salalah,om,17.01,54.1,80.6,88,75,8.05
te anau,nz,-45.41,167.72,38.29,88,20,10.67
alofi,nu,-19.06,-169.92,80.6,69,68,14.99
cidreira,br,-30.17,-50.22,62.32,89,80,13.69
bochil,mx,17.0,-92.89,80.6,69,90,0.83
ternate,id,14.29,120.72,86.0,89,90,4.7
geraldton,au,49.72,-86.95,46.4,87,90,12.75
luena,ao,-11.78,19.91,46.84,67,0,3.85
manzhouli,cn,49.6,117.43,59.08,100,92,17.05
athabasca,ca,54.72,-113.29,71.05,79,44,5.97
serenje,zm,-13.23,30.22,55.84,68,88,7.31
hilo,us,19.71,-155.08,80.6,69,75,12.75
kodiak,us,39.95,-94.76,80.6,65,1,6.93
torbay,ca,47.66,-52.73,57.2,47,90,32.21
zhezkazgan,kz,47.8,67.71,64.4,63,40,11.18
bridgewater,us,41.99,-70.98,59.9,100,90,4.7
roald,no,62.58,6.12,50.74,100,56,9.17
batagay-alyta,ru,67.8,130.41,75.91,37,0,4.07
iqaluit,ca,63.75,-68.52,42.8,70,75,14.99
banjar,id,-7.37,108.54,76.0,91,76,3.51
hithadhoo,mv,-0.6,73.08,81.74,100,20,3.71
provideniya,ru,64.42,-173.23,40.43,100,88,13.0
mwandiga,tz,-4.84,29.66,72.49,100,0,7.31
asuncion,py,-25.3,-57.63,77.0,61,75,8.05
vadso,no,70.07,29.75,48.2,87,75,11.41
shakhtinsk,kz,49.71,72.59,62.6,63,0,2.24
wentzville,us,38.81,-90.85,78.75,57,20,3.4
thinadhoo,mv,0.53,72.93,82.93,100,0,6.53
vardo,no,39.62,-77.74,71.08,78,20,4.7
sistranda,no,63.73,8.83,48.2,93,75,14.99
awjilah,ly,29.14,21.3,75.64,43,0,7.65
phan thiet,vn,10.93,108.1,83.92,92,20,10.78
east london,za,-33.02,27.91,65.45,100,0,24.85
shingu,jp,33.72,135.99,75.2,83,75,9.17
yeppoon,au,-23.13,150.74,73.4,43,0,9.17
liverpool,ca,53.41,-2.98,52.61,81,0,6.93
havoysund,no,71.0,24.66,44.6,93,92,14.99
san patricio,mx,-26.98,-56.83,75.35,63,92,5.39
sheridan,us,39.65,-105.03,79.27,29,1,6.93
menongue,ao,-14.66,17.68,47.02,64,0,4.41
port blair,in,11.67,92.75,82.66,100,76,17.83
pavilosta,lv,56.89,21.19,43.74,93,36,11.68
jumla,np,29.28,82.18,45.58,87,12,1.72
itarema,br,-2.92,-39.92,77.89,80,8,13.13
kutum,sd,14.2,24.66,64.21,82,12,3.4
kailua,us,21.39,-157.74,83.95,69,75,17.22
mandalgovi,mn,45.76,106.27,61.96,68,80,15.03
riyadh,sa,24.63,46.72,80.6,28,0,5.82
isangel,vu,-19.55,169.27,72.76,100,0,12.01
thompson,ca,55.74,-97.86,73.4,23,20,10.29
stromness,gb,42.87,-79.55,66.6,100,90,6.93
adrar,dz,27.87,-0.29,84.2,18,0,9.17
galesong,id,-5.32,119.37,82.4,78,20,3.36
whitianga,nz,-36.83,175.7,58.36,100,24,19.28
los llanos de aridane,es,28.66,-17.92,68.0,77,0,4.7
komsomolskiy,ru,67.55,63.78,55.66,72,0,11.34
yarada,in,17.65,83.27,83.11,100,32,19.51
cherskiy,ru,68.75,161.3,57.26,51,92,2.82
zhangye,cn,38.94,100.46,72.31,82,0,3.74
algiers,dz,29.94,-90.04,85.39,88,20,5.82
palana,ru,59.08,159.95,67.18,55,0,0.94
haywards heath,gb,51.0,-0.1,57.18,71,0,2.24
seoul,kr,37.57,126.98,75.92,74,20,6.64
sinnar,sd,19.85,74.0,71.59,100,92,8.43
terrace bay,ca,48.78,-87.1,50.71,67,80,17.49
darnah,ly,32.77,22.64,76.27,98,0,13.02
birao,cf,10.3,22.78,69.52,98,68,2.95
namtsy,ru,62.72,129.66,63.76,60,92,3.4
grindavik,is,63.84,-22.43,47.34,93,90,14.99
sao joao da barra,br,-21.64,-41.05,74.56,96,0,21.41
broome,au,52.47,1.45,50.41,87,48,3.36
port-gentil,ga,-0.72,8.78,74.92,100,80,7.54
taoudenni,ml,22.68,-3.98,72.49,18,0,4.63
jatibarang,id,-6.47,108.3,86.35,62,20,2.73
deputatskiy,ru,69.3,139.9,71.86,26,0,4.63
tessalit,ml,20.2,1.01,77.89,24,36,5.3
khorramshahr,ir,30.43,48.18,82.4,32,0,6.93
bambous virieux,mu,-20.34,57.76,71.6,68,75,8.05
santo domingo,ec,18.48,-69.94,71.6,94,75,4.7
hambantota,lk,6.12,81.12,78.61,100,24,10.56
lujiang,cn,31.26,117.28,80.6,78,20,6.71
bubaque,gw,11.28,-15.83,80.6,83,20,5.82
yatou,cn,3.63,9.81,75.2,94,40,1.12
toora-khem,ru,52.47,96.11,67.81,52,0,3.06
saint-pierre,pm,48.95,4.24,53.6,81,0,3.36
kawalu,id,-7.38,108.21,70.96,95,80,1.39
saint-georges,gf,46.12,-70.67,60.88,76,92,1.83
pandan,ph,11.72,122.09,81.13,100,32,6.64
timra,se,62.49,17.33,48.2,81,0,5.82
hobart,au,-42.88,147.33,50.0,61,75,12.75
leca da palmeira,pt,41.19,-8.7,65.48,100,0,2.95
aksu,cn,52.04,76.93,69.8,77,40,4.47
mokrousovo,ru,55.81,66.77,58.9,96,88,10.78
pedasi,pa,7.53,-80.03,78.61,100,64,7.2
ayorou,ne,14.73,0.92,81.67,60,20,7.31
leningradskiy,ru,69.38,178.42,33.7,92,20,13.35
yellowknife,ca,62.45,-114.38,66.2,88,90,6.93
klaksvik,fo,62.23,-6.59,50.0,100,92,8.05
sibolga,id,1.74,98.78,74.11,91,80,2.28
chuy,uy,-33.69,-53.46,48.19,96,0,16.93
padang,id,-0.92,100.36,83.56,100,88,5.41
ahlat,tr,38.75,42.49,47.74,93,0,2.95
solnechnyy,ru,50.72,136.64,52.51,85,68,7.43
vieira de leiria,pt,39.87,-8.94,64.4,93,20,2.24
neryungri,ru,56.66,124.71,65.65,70,64,4.18
esperance,au,10.24,-61.45,77.0,94,75,4.7
metro,id,-5.11,105.31,79.69,100,56,3.4
lerwick,gb,60.15,-1.15,50.9,87,92,13.87
klyuchi,ru,52.25,79.17,69.7,90,20,4.97
tecoanapa,mx,16.99,-99.26,75.2,94,90,4.7
dingle,ie,11.0,122.67,82.57,93,56,3.74
fallon,us,46.84,-105.12,66.2,88,1,3.36
sorong,id,-0.86,131.25,81.94,100,8,4.63
mataura,pf,-46.19,168.86,44.21,96,48,13.22
erzin,ru,36.95,36.2,76.6,88,20,3.36
souillac,mu,45.6,-0.6,61.61,55,0,9.17
yongan,cn,39.7,113.69,76.27,74,32,2.62
ybycui,py,-26.02,-57.05,76.27,63,92,5.75
mikuni,jp,36.22,136.15,75.2,57,20,11.41
bam,ir,29.11,58.36,78.97,19,0,4.18
avarua,ck,-21.21,-159.78,84.2,74,40,5.82
ko samui,th,9.54,99.94,86.0,66,20,13.13
hami,cn,42.84,93.51,71.48,42,0,9.75
juneau,us,58.3,-134.42,58.19,71,90,10.29
lasa,cn,34.92,32.53,72.14,88,20,4.7
nyurba,ru,63.29,118.35,73.12,68,0,3.51
mehamn,no,71.03,27.85,44.12,93,92,15.12
ola,ru,59.58,151.3,75.2,31,0,4.47
amapa,br,15.09,-87.97,82.4,94,40,10.29
ruteng,id,-8.61,120.46,79.78,76,32,2.62
pevek,ru,69.7,170.27,45.56,67,8,8.75
mpongwe,zm,-13.51,28.16,55.12,73,0,8.21
kloulklubed,pw,7.04,134.26,86.0,70,75,3.36
burnie,au,-41.05,145.91,53.68,100,44,19.06
cervo,es,-22.19,-46.24,49.45,82,0,2.62
bani walid,ly,31.76,14.0,57.19,83,0,2.06
adre,td,13.47,22.2,65.2,99,32,3.06
yerbogachen,ru,61.28,108.01,76.54,53,0,5.41
minervino murge,it,41.09,16.08,62.6,59,0,10.29
mogadishu,so,2.04,45.34,78.79,98,80,20.62
peniche,pt,39.36,-9.38,65.14,82,0,2.24
husavik,is,50.56,-96.99,76.52,69,36,12.77
kirovskaya,ru,46.97,40.04,70.96,80,44,10.11
moramanga,mg,-18.95,48.23,48.55,100,24,2.17
norsup,vu,-16.07,167.38,78.52,86,56,10.45
narva-joesuu,ee,59.46,28.04,56.02,85,92,6.2
yilan,cn,24.75,121.75,89.47,59,75,12.75
vila franca do campo,pt,37.72,-25.43,66.2,77,75,5.82
shirokiy,ru,53.87,39.17,75.01,39,24,13.24
mamallapuram,in,12.63,80.17,87.8,58,75,6.93
ouadda,cf,8.07,22.4,67.54,94,88,3.18
saint-francois,gp,46.42,3.91,51.8,87,0,6.2
chiryu,jp,35.0,137.06,71.6,83,75,3.36
batticaloa,lk,7.71,81.69,82.66,98,48,5.19
daru,pg,7.99,-10.85,69.79,99,88,2.62
sorland,no,67.67,12.69,47.29,100,8,16.26
teguldet,ru,57.31,88.17,77.71,54,0,3.85
grand-lahou,ci,5.24,-5.0,73.66,97,64,3.62
nyrob,ru,60.74,56.73,66.55,73,0,6.42
zhigansk,ru,66.77,123.37,76.27,35,12,2.06
ribeira grande,pt,38.52,-28.7,70.22,100,80,2.37
kozhva,ru,65.11,57.05,66.46,75,64,3.62
yenagoa,ng,4.92,6.26,72.76,92,92,2.95
cherepovets,ru,59.13,37.92,64.48,74,32,14.36
orda,ru,57.2,56.91,67.0,69,0,9.44
acajutla,sv,13.59,-89.83,82.4,69,0,3.36
roma,au,41.89,12.48,63.18,82,20,6.93
ilulissat,gl,69.22,-51.1,37.4,92,75,8.05
abu dhabi,ae,24.47,54.37,87.8,62,0,2.24
arantangi,in,10.17,78.99,83.29,84,64,9.22
letlhakeng,bw,-24.1,25.03,38.74,73,0,2.95
zig,az,40.13,-92.77,71.83,100,0,2.73
natalio,py,-26.76,-55.14,72.76,60,100,5.75
saint george,us,39.45,22.34,69.8,64,75,4.7
manono,cd,-7.3,27.4,64.39,82,0,2.51
tongliao,cn,43.61,122.27,86.17,39,44,10.45
gambela,et,8.25,34.59,60.52,96,48,4.18
gazojak,tm,41.19,61.4,76.36,35,0,4.97
san cristobal,ec,-0.39,-78.55,53.6,76,40,12.75
isiro,cd,2.77,27.62,63.22,97,20,2.17
ust-kut,ru,56.78,105.75,70.87,61,0,6.53
sidhi,in,24.41,81.88,93.55,46,8,11.79
port elizabeth,za,39.31,-74.98,71.01,94,90,9.17
codrington,ag,-28.95,153.24,57.71,68,0,3.49
manggar,id,-2.88,108.27,85.99,76,76,11.01
lebu,cl,8.96,38.73,54.65,68,80,1.25
xingcheng,cn,40.62,120.71,90.67,63,12,5.64
hovd,mn,63.83,10.7,48.88,93,75,11.41
tadine,nc,-21.55,167.88,71.77,100,56,9.78
atar,mr,20.52,-13.05,75.01,35,0,4.07
dubai,ae,25.27,55.3,85.06,74,0,8.05
vila velha,br,-3.71,-38.6,80.6,69,20,13.87
flinders,au,-34.58,150.85,57.2,44,0,10.29
lagoa,pt,37.14,-8.45,69.8,73,0,3.36
vostok,ru,46.45,135.83,53.32,75,88,3.74
roebourne,au,-20.77,117.15,70.78,20,0,18.5
kalmunai,lk,7.42,81.82,81.31,89,8,7.99
vega de alatorre,mx,20.03,-96.65,76.99,92,48,5.86
campohermoso,co,36.94,-2.13,80.6,42,20,8.05
pisco,pe,-13.71,-76.2,62.6,88,90,11.41
tabuk,sa,17.41,121.44,77.8,84,64,2.06
saskylakh,ru,71.97,114.09,68.69,100,24,4.72
lillooet,ca,50.69,-121.94,73.4,43,1,25.28
georgetown,sh,6.8,-58.16,77.0,94,40,4.7
ahaus,de,52.08,7.0,50.0,87,75,3.36
pundaguitan,ph,6.37,126.17,83.11,100,32,2.95
nuuk,gl,64.17,-51.74,41.0,80,68,9.17
mago,ru,53.27,140.15,48.91,80,64,6.08
qandala,so,11.47,49.87,78.25,67,76,4.18
puerto ayora,ec,-0.74,-90.35,75.2,69,75,11.41
makakilo city,us,21.35,-158.09,83.88,69,75,17.22
devrek,tr,41.22,31.96,64.3,100,92,3.18
lompoc,us,34.64,-120.46,67.23,87,90,4.7
papillion,us,41.15,-96.04,75.79,74,40,8.05
sibu,my,2.29,111.83,77.0,94,75,2.24
mount gambier,au,-37.83,140.78,50.44,95,88,3.18
dawson creek,ca,55.76,-120.23,77.7,29,1,16.11
dunedin,nz,-45.87,170.5,45.58,79,8,9.78
svetlogorsk,ru,53.14,59.15,60.8,72,0,8.95
norman wells,ca,65.28,-126.83,69.8,56,75,21.92
lamu,ke,0.57,122.3,80.23,89,76,2.95
carutapera,br,-1.2,-46.02,80.05,82,44,8.77
damghan,ir,36.17,54.34,71.05,49,8,4.41
raudeberg,no,61.99,5.14,51.8,93,88,5.82
tazovskiy,ru,67.47,78.7,62.77,95,92,14.03
makurdi,ng,7.73,8.54,70.33,100,92,3.4
awbari,ly,26.59,12.77,69.52,41,0,6.87
sulangan,ph,11.14,123.72,82.39,100,36,2.28
narok,ke,-1.09,35.87,52.42,91,64,1.95
valparaiso,cl,41.47,-87.06,70.63,88,90,6.64
pacific grove,us,36.62,-121.92,65.68,60,1,19.46
lugovoy,ru,59.72,65.88,63.76,84,0,11.68
constitucion,mx,23.99,-104.67,75.2,50,75,8.05
balingasay,ph,16.36,119.86,84.46,100,24,5.19
russkaya polyana,ru,53.78,73.88,66.82,80,32,5.19
merauke,id,-8.49,140.4,83.92,73,56,16.49
vanimo,pg,-2.67,141.3,79.96,100,44,7.65
kampot,kh,10.62,104.18,84.55,81,64,6.98
mizdah,ly,31.45,12.98,62.14,66,0,2.95
tombouctou,ml,16.77,-3.01,88.87,38,68,7.87
guerrero negro,mx,27.97,-114.04,67.99,78,0,6.76
boundiali,ci,9.53,-6.48,72.22,90,92,7.2
touros,br,-5.2,-35.46,74.29,99,88,11.34
chingirlau,kz,51.09,54.08,70.51,37,0,6.98
axim,gh,4.87,-2.24,76.72,100,92,6.87
poum,nc,41.28,20.71,42.61,98,48,1.61
katsuura,jp,33.93,134.5,71.6,83,40,12.75
aldama,mx,22.92,-98.09,83.11,94,68,13.8
dhidhdhoo,mv,6.88,73.1,80.77,100,64,14.81
north platte,us,41.12,-100.77,86.0,45,1,5.82
fairbanks,us,64.84,-147.72,66.72,37,76,3.36
teknaf,bd,20.86,92.31,75.1,100,92,4.85
kavieng,pg,-2.57,150.8,83.27,100,56,2.37
road town,vg,18.42,-64.62,78.8,88,1,8.05
sechura,pe,-5.56,-80.82,66.73,89,0,12.35
puerto escondido,mx,15.86,-97.07,82.4,74,90,6.42
coolum beach,au,-26.53,153.09,66.46,80,24,4.97
duluth,us,46.77,-92.13,57.61,81,1,13.87
hofn,is,64.25,-15.21,48.82,93,36,8.66
victoria,sc,5.28,115.24,80.6,88,75,7.63
chulym,ru,55.09,80.97,72.49,55,20,4.63
batken,kg,40.06,70.82,69.52,48,80,4.63
tomohon,id,1.33,124.84,87.8,58,20,5.82
mareeba,au,-16.99,145.42,73.4,83,75,16.11
nago,jp,45.88,10.89,60.44,76,0,4.7
milos,gr,36.75,24.43,73.4,78,0,5.82
bonthe,sl,7.53,-12.5,72.94,100,92,3.51
nabire,id,-3.36,135.5,75.55,87,36,2.17
cururupu,br,-1.82,-44.87,76.99,87,0,5.53
heihe,cn,50.24,127.51,68.0,56,20,11.18
tromso,no,69.65,18.96,42.8,81,75,17.22
ranong,th,9.96,98.62,80.6,88,20,4.7
porto walter,br,-8.27,-72.74,74.47,90,8,1.72
guymon,us,36.68,-101.48,80.67,74,1,11.41
nizhniy kuranakh,ru,58.84,125.49,67.99,64,56,3.18
lakhisarai,in,25.18,86.09,87.52,71,32,7.54
kulhudhuffushi,mv,6.62,73.07,80.77,100,64,14.81
requena,pe,39.49,-1.1,73.4,78,75,8.05
jining,cn,35.41,116.58,87.16,59,32,11.45
concarneau,fr,47.88,-3.92,55.99,71,0,4.7
yar-sale,ru,66.83,70.83,50.35,72,0,18.05
stokmarknes,no,68.56,14.91,45.04,100,92,14.7
hirara,jp,24.8,125.28,86.0,84,75,14.99
paamiut,gl,61.99,-49.67,37.39,100,44,3.62
ahuimanu,us,21.44,-157.84,83.95,69,75,17.22
arlit,ne,18.74,7.39,75.1,67,32,2.73
hengshan,cn,23.54,112.37,79.42,94,80,3.51
ishigaki,jp,24.34,124.16,87.8,79,75,13.87
trinidad,cu,-33.52,-56.9,42.34,59,0,12.68
oranjemund,na,-28.55,16.43,57.73,100,0,11.01
bhanpuri,in,21.1,80.92,84.91,76,24,11.56
henties bay,na,-22.12,14.28,53.23,100,0,6.98
bilibino,ru,68.06,166.44,64.12,82,64,0.38
alice springs,au,-23.7,133.88,55.4,37,0,13.87
fethiye,tr,36.62,29.12,69.8,77,0,4.7
ponta do sol,cv,-20.63,-46.0,61.24,72,24,3.96
mananjary,mg,-19.16,46.8,35.59,80,12,2.95
naze,jp,5.43,7.07,71.6,100,75,2.39
beyneu,kz,45.32,55.19,77.98,28,0,4.41
norilsk,ru,69.35,88.2,62.68,61,0,5.19
labuan,my,5.28,115.24,82.4,83,75,4.7
bokhan,ru,53.15,103.77,69.25,74,8,4.29
tocache,pe,-8.19,-76.51,49.54,81,0,2.84
nome,us,30.04,-94.42,82.87,78,1,6.93
san-pedro,ci,4.75,-6.64,72.22,100,64,4.41
gamba,ga,28.28,88.52,34.42,93,80,1.05
bria,cf,6.54,21.99,64.39,96,64,2.95
sobolevo,ru,54.43,31.9,55.39,100,88,5.53
samarai,pg,-10.62,150.67,77.26,100,64,16.49
vestmannaeyjar,is,63.44,-20.27,47.29,100,92,6.98
mangan,in,27.5,88.54,47.29,98,92,0.94
saint-paul,re,45.22,1.9,54.61,81,0,2.24
coihaique,cl,-45.58,-72.07,34.59,59,75,2.24
stulovo,ru,55.85,38.31,65.3,63,0,8.95
lively,ca,33.6,-99.18,73.75,88,44,5.08
saldanha,za,41.42,-6.55,65.63,76,0,4.38
moissac,fr,44.11,1.08,58.14,87,0,3.36
dapaong,tg,10.86,0.2,76.09,81,88,7.65
lerik,az,38.78,48.42,64.4,82,0,2.62
umm kaddadah,sd,13.6,26.69,72.94,72,0,7.99
aswan,eg,24.09,32.9,84.55,34,0,11.23
luderitz,na,-26.65,15.16,47.38,93,0,12.8
isilkul,ru,54.9,71.26,62.59,88,48,6.2
agdam,az,39.99,46.93,64.48,69,0,2.17
bobrovka,ru,52.3,45.54,72.22,39,0,6.87
dembi dolo,et,8.53,34.8,60.52,96,48,4.18
dharur,in,18.82,76.11,76.09,87,36,9.66
tolosa,es,43.14,-2.07,55.8,82,0,5.82
northam,au,51.04,-4.21,54.5,76,0,1.12
groton,us,42.61,-71.57,57.07,93,90,4.7
virginia beach,us,36.85,-75.98,77.16,88,1,9.17
manzanillo,mx,20.34,-77.12,81.58,100,56,0.72
uray,ru,60.13,64.8,63.94,88,32,10.45
silifke,tr,36.38,33.93,66.37,86,0,3.96
azanka,ru,58.04,64.79,61.42,88,92,6.76
helsinki,fi,60.17,24.94,44.6,93,0,3.36
tucano,br,-10.96,-38.79,68.08,82,64,7.09
anloga,gh,5.79,0.9,75.2,94,20,5.82
celestun,mx,20.87,-90.4,83.11,95,68,12.01
ous,ru,60.91,61.52,66.01,70,0,7.76
suleja,ng,9.18,7.18,71.6,88,75,5.82
ask,no,35.87,52.15,54.13,58,0,0.94
yuza,jp,39.05,139.95,75.96,53,20,14.99
plouzane,fr,48.38,-4.62,53.17,87,0,3.36
khani,ru,41.96,42.96,64.4,100,40,3.36
siuna,ni,13.73,-84.78,76.09,87,24,2.95
nantucket,us,41.28,-70.1,62.6,93,90,17.16
kosh-agach,ru,49.99,88.66,61.87,42,0,3.62
mehndawal,in,26.98,83.11,91.66,56,0,9.66
ankang,cn,32.73,108.99,76.99,75,88,2.51
beni,cd,0.49,29.47,59.71,97,24,2.95
renqiu,cn,38.71,116.1,91.57,56,0,11.56
gat,ly,14.69,-16.54,73.84,93,76,7.99
chapais,ca,49.78,-74.86,46.4,87,90,10.29
wenling,cn,28.38,121.38,80.77,90,64,2.62
egvekinot,ru,66.32,-179.17,48.37,67,36,5.97
ginir,et,7.14,40.71,59.89,88,76,4.63
ixtapa,mx,20.71,-105.21,82.4,83,90,9.17
dzhebariki-khaya,ru,62.22,135.8,66.73,57,88,3.18
kahului,us,20.89,-156.47,82.33,62,40,29.97
bintulu,my,3.17,113.03,71.6,100,90,3.18
vazhiny,ru,60.96,34.04,58.0,62,92,5.41
ouesso,cg,1.61,16.05,67.63,100,92,1.61
jabinyanah,tn,35.03,10.91,77.0,69,0,2.17
maputo,mz,-25.97,32.57,62.6,63,0,12.75
abilene,us,32.45,-99.73,93.02,30,75,23.04
kedrovyy,ru,56.17,91.82,69.8,60,0,6.71
la paz,mx,24.15,-110.32,78.8,44,40,12.75
ventspils,lv,57.39,21.56,44.6,100,20,11.45
banda aceh,id,5.56,95.32,83.02,79,48,2.73
honningsvag,no,70.98,25.97,43.51,100,92,20.51
kalaleh,ir,37.38,55.49,75.46,53,0,4.52
manokwari,id,-0.87,134.08,82.66,100,0,9.66
nhulunbuy,au,-12.18,136.78,80.6,65,75,13.87
kemin,kg,42.79,75.7,62.59,46,36,2.28
anadyr,ru,64.73,177.51,50.0,71,75,13.42
bilma,ne,18.69,12.92,82.93,37,44,3.4
sarakhs,ir,36.54,61.16,75.2,38,0,11.41
diu,in,20.71,70.98,78.79,96,88,9.66
santo antonio do sudoeste,br,-26.07,-53.73,65.74,75,20,3.96
auki,sb,12.18,6.51,68.8,93,20,4.41
